"slds-p-bottom_small","slds-p-bottom_small 2","slds-p-bottom_small href"
"As you get started with Salesforce, it’s helpful to learn some key concepts and terms.     They come up frequently when you interact with the product, our documentation, and our service     professionals. The concepts and terms here help you understand how Salesforce works.","Concepts, Products, and Services","https://help.salesforce.com/s/articleView?id=xcloud.basics_sf_concepts_terms.htm&language=en_US&type=5"
"The Salesforce administrator—or “admin” is a Salesforce user with system   administration duties and other super powers. Admins are responsible for setting up Salesforce for   their organizations and making sure it runs smoothly.","The Salesforce Admin","https://help.salesforce.com/s/articleView?id=xcloud.basics_understanding_administrator.htm&language=en_US&type=5"
"New to Salesforce, or maybe you’re not so new? In either case, to get the most out of         Salesforce, it helps to know how your org is created and the types of licenses, permissions,         and profiles that you receive. Understanding how these elements interact and impact what         users can do saves you time.","What Happens When You Purchase Salesforce","https://help.salesforce.com/s/articleView?id=xcloud.overview_when_you_buy.htm&language=en_US&type=5"
"As your organization’s needs change, your licensing needs evolve. When you update         licenses, you want your production and sandbox orgs to be in sync. Often you can refresh         your sandbox to ensure that its licensing information matches your production org’s. Or, to         ensure that your sandbox orgs receive updated license information, you can use the Match         Production Licenses to Sandbox tool.","Push Updated Licenses to Sandbox Orgs","https://help.salesforce.com/s/articleView?id=xcloud.overview_licenses_and_sandbox.htm&language=en_US&type=5"
"When you purchase Salesforce, you receive licenses, permissions, and profiles that         shape your org and what users can do in it. You can also create permission sets to help with         permission management. Understand the impact of license updates on permissions in your         profiles and permission sets.","License Updates and Your Org","https://help.salesforce.com/s/articleView?id=xcloud.overview_license_updates_user_perms.htm&language=en_US&type=5"
"We offer bundles of features and services, each geared toward specific business         needs.","Salesforce Editions","https://help.salesforce.com/s/articleView?id=xcloud.overview_edition.htm&language=en_US&type=5"
"Allocations for Salesforce features by edition.","Salesforce Features and Edition Allocations","https://help.salesforce.com/s/articleView?id=xcloud.overview_limits_general.htm&language=en_US&type=5"
"Storage allocation per Salesforce edition and number of standard licensed users in your   organization.","Data and File Storage Allocations","https://help.salesforce.com/s/articleView?id=xcloud.overview_storage.htm&language=en_US&type=5"
"Review the minimum and recommended technical requirements for Lightning                 Experience on tablets.","Technical Requirements for Tablets","https://help.salesforce.com/s/articleView?id=xcloud.lex_ipad_browser.htm&language=en_US&type=5"
"Learn about the standards for low-vision users and deaf or hearing impaired users that     Salesforce follows to design applications with accessibility in mind.","Accessibility Standards","https://help.salesforce.com/s/articleView?id=xcloud.accessibility_overview.htm&language=en_US&type=5"
"Learn about the supported languages in Salesforce, and understand the difference     between fully supported, end-user, and platform-only languages. Learn which languages are     available in the UI for each Salesforce cloud, and review important limitations for     right-to-left (RTL) languages in Salesforce.","Salesforce Language Support","https://help.salesforce.com/s/articleView?id=xcloud.faq_getstart_language_support.htm&language=en_US&type=5"
"Lightning Experience is available on multiple editions and recommends using the     Salesforce mobile app on mobile devices. Specific browsers and devices are supported, and there     are limitations and considerations for third-party browser extensions and JavaScript     libraries.","Supported Browsers and Devices for Lightning Experience","https://help.salesforce.com/s/articleView?id=xcloud.getstart_browsers_sfx.htm&language=en_US&type=5"
"Salesforce Classic doesn't support mobile browsers, so we recommend using the     Salesforce mobile app for working on mobile devices.","Supported Browsers and Devices for Salesforce Classic","https://help.salesforce.com/s/articleView?id=xcloud.getstart_browser_aloha.htm&language=en_US&type=5"
"For the best experience and security, follow these guidelines.","Recommendations and Requirements for All Browsers","https://help.salesforce.com/s/articleView?id=xcloud.getstart_browser_recommendations.htm&language=en_US&type=5"
"View Salesforce Help documentation offline as PDFs that you can download and print.","Download and Print Salesforce Help Documentation","https://help.salesforce.com/s/articleView?id=xcloud.printabledoc_general.htm&language=en_US&type=5"